Designator,Footprint,Quantity,Value,LCSC Part #
"B1, B2, B3, B4, B5, B7",SW_SPST_EVQQ2,6,SPST_TACTEVQQ2,
B6,1048P_KEY,1,1056,
"C1, C11, C12, C15, C27",0603,5,0.1uF,
"C10, C13, C14, C2, C7, C8, C9, CS1",0603,8,10uF,
C24,1206,1,0.1uF,
C25,0805,1,4.7uF,
C26,0805,1,22uF,
"C3, C4",C_Elec_8x10.2,2,100uF,
"D1, D2",D_SMA,2,M7,
"D10, D13, D3, D4, D5, D6, D7, D8, D9",SOT-223,9,BT1380W,
D11,D_MiniMELF,1,LL4148,
"D12, D14",0603,2,LED,
D15,DIO_RB051MM_ROM,1,D_Schottky,
J1,TerminalBlock_WAGO_236-409_1x09_P5.00mm_45Degree,1,Screw_Terminal_01x9,
J3,TerminalBlock_WAGO_236-404_1x04_P5.00mm_45Degree,1,Screw_Terminal_01x03,
"J4, J6",TerminalBlock_WAGO_236-402_1x02_P5.00mm_45Degree,2,Screw_Terminal_01x02,
J8,CUI_PJ-202AH,1,PJ-202AH,
L1,IND_CLF5030NIT-150M-D,1,CLF5030NIT-150M-D,
Q1,SOT-363_SC-70-6,1,MBT2222ADW1T1,
"R1, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R3, R31, R32, R33, R35, R36, R4, R5",0603,22,10K,
"R10, R11, R12, R13, R34, R6, R7, R8, R9",0603,9,390,
"R26, R27",0603,2,1K,
R37,0603,1,51K,
R38,0603,1,15K,
R39,0805,1,100K,
R40,0805,1,16K,
RA1,0603,1,100,
RD1,0603,1,100K,
RS1,1206,1,0.2,
"TP1, TP2, TP5",TestPoint_Pad_D1.0mm,3,TestPoint,
"TVS1, TVS10, TVS2, TVS3, TVS4, TVS5, TVS6, TVS7, TVS8, TVS9",SMBJSeries_LTF,10,SMBJ43CA,
U$1,PinHeader_1x07_P2.54mm_Vertical,1,GOLDFINGER_2X3,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,
U2,SO16,1,CH340C,
U4,TSSOP-24_4.4x7.8mm_P0.65mm,1,PCA9555PW,
U5,ESP32-WROOM-32,1,ESP32-WROOM-32,
U6,MSOP-8_3x3mm_P0.65mm,1,PCF8563TS,
U7,SSOP6_ROM,1,BD9G102G-LBTR,
Y1,XTAL_ECS-31B_ECS,1,32.768kHz,
